2013-12-05 15:33:41,230 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/pom.xml
2013-12-05 15:33:46,588 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: nico:Ejer2:0.0.1-SNAPSHOT @ /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/pom.xml.
2013-12-05 15:33:47,900 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ejer2/src/main/java
2013-12-05 15:33:47,901 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Ejer2/src/main/resources
2013-12-05 15:33:47,905 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ejer2/src/test/java
2013-12-05 15:33:47,941 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: nico:Ejer2:0.0.1-SNAPSHOT @ /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/pom.xml.
2013-12-05 15:34:15,163 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 33 sec
2013-12-05 15:34:20,058 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: nico:Ejer2:0.0.1-SNAPSHOT @ /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/pom.xml.
2013-12-05 15:34:20,684 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:34:20,799 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:34:20,809 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:34:20,811 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:38:24,320 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: nico:Ejer2:0.0.1-SNAPSHOT @ /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/pom.xml.
2013-12-05 15:38:24,698 [Worker-5] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 4
2013-12-05 15:39:05,209 [Worker-5] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/tomcat/maven/tomcat7-maven-plugin/2.0/tomcat7-maven-plugin-2.0.pom
2013-12-05 15:39:05,236 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:2.0: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:2.0 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0
2013-12-05 15:39:05,239 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:2.0: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:2.0 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0
2013-12-05 15:39:05,448 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:39:05,456 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:39:05,461 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:39:05,462 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:39:05,464 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Ejer2
2013-12-05 15:39:05,467 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Ejer2
2013-12-05 15:39:05,473 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0 is missing, no dependency information available
2013-12-05 15:39:05,474 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:2.0: Plugin org.apache.tomcat.maven:tomcat7-maven-plugin:2.0 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0
2013-12-05 15:39:05,477 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.tomcat.maven:tomcat7-maven-plugin:jar:2.0 is missing, no dependency information available
